date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2006-06-07,5861,206.0,-173.0,589.0,-119.0,148.0,-105.0,-30.0,-54.0,236.0,209.0,-217.0,150.0,-157.0
2006-06-08,5476,-385.0,206.0,-173.0,589.0,-119.0,148.0,-105.0,-30.0,-54.0,236.0,209.0,-217.0,150.0
2006-06-09,5729,253.0,-385.0,206.0,-173.0,589.0,-119.0,148.0,-105.0,-30.0,-54.0,236.0,209.0,-217.0
2006-06-10,5866,137.0,253.0,-385.0,206.0,-173.0,589.0,-119.0,148.0,-105.0,-30.0,-54.0,236.0,209.0
2006-06-11,5876,10.0,137.0,253.0,-385.0,206.0,-173.0,589.0,-119.0,148.0,-105.0,-30.0,-54.0,236.0
2006-06-12,6586,710.0,10.0,137.0,253.0,-385.0,206.0,-173.0,589.0,-119.0,148.0,-105.0,-30.0,-54.0
2006-06-13,6827,241.0,710.0,10.0,137.0,253.0,-385.0,206.0,-173.0,589.0,-119.0,148.0,-105.0,-30.0
2006-06-14,7030,203.0,241.0,710.0,10.0,137.0,253.0,-385.0,206.0,-173.0,589.0,-119.0,148.0,-105.0
2006-06-15,6536,-494.0,203.0,241.0,710.0,10.0,137.0,253.0,-385.0,206.0,-173.0,589.0,-119.0,148.0
2006-06-16,6923,387.0,-494.0,203.0,241.0,710.0,10.0,137.0,253.0,-385.0,206.0,-173.0,589.0,-119.0
2006-06-17,6534,-389.0,387.0,-494.0,203.0,241.0,710.0,10.0,137.0,253.0,-385.0,206.0,-173.0,589.0
2006-06-18,6926,392.0,-389.0,387.0,-494.0,203.0,241.0,710.0,10.0,137.0,253.0,-385.0,206.0,-173.0
2006-06-19,6354,-572.0,392.0,-389.0,387.0,-494.0,203.0,241.0,710.0,10.0,137.0,253.0,-385.0,206.0
2006-06-20,6493,139.0,-572.0,392.0,-389.0,387.0,-494.0,203.0,241.0,710.0,10.0,137.0,253.0,-385.0
2006-06-21,6461,-32.0,139.0,-572.0,392.0,-389.0,387.0,-494.0,203.0,241.0,710.0,10.0,137.0,253.0
2006-06-22,6450,-11.0,-32.0,139.0,-572.0,392.0,-389.0,387.0,-494.0,203.0,241.0,710.0,10.0,137.0
2006-06-23,6578,128.0,-11.0,-32.0,139.0,-572.0,392.0,-389.0,387.0,-494.0,203.0,241.0,710.0,10.0
2006-06-24,6228,-350.0,128.0,-11.0,-32.0,139.0,-572.0,392.0,-389.0,387.0,-494.0,203.0,241.0,710.0
2006-06-25,6393,165.0,-350.0,128.0,-11.0,-32.0,139.0,-572.0,392.0,-389.0,387.0,-494.0,203.0,241.0
2006-06-26,6540,147.0,165.0,-350.0,128.0,-11.0,-32.0,139.0,-572.0,392.0,-389.0,387.0,-494.0,203.0
2006-06-27,6137,-403.0,147.0,165.0,-350.0,128.0,-11.0,-32.0,139.0,-572.0,392.0,-389.0,387.0,-494.0
2006-06-28,6186,49.0,-403.0,147.0,165.0,-350.0,128.0,-11.0,-32.0,139.0,-572.0,392.0,-389.0,387.0
2006-06-29,6496,310.0,49.0,-403.0,147.0,165.0,-350.0,128.0,-11.0,-32.0,139.0,-572.0,392.0,-389.0
2006-06-30,6450,-46.0,310.0,49.0,-403.0,147.0,165.0,-350.0,128.0,-11.0,-32.0,139.0,-572.0,392.0
2006-07-01,6196,-254.0,-46.0,310.0,49.0,-403.0,147.0,165.0,-350.0,128.0,-11.0,-32.0,139.0,-572.0
2006-07-02,6537,341.0,-254.0,-46.0,310.0,49.0,-403.0,147.0,165.0,-350.0,128.0,-11.0,-32.0,139.0
2006-07-03,5138,-1399.0,341.0,-254.0,-46.0,310.0,49.0,-403.0,147.0,165.0,-350.0,128.0,-11.0,-32.0
2006-07-04,5106,-32.0,-1399.0,341.0,-254.0,-46.0,310.0,49.0,-403.0,147.0,165.0,-350.0,128.0,-11.0
2006-07-05,4929,-177.0,-32.0,-1399.0,341.0,-254.0,-46.0,310.0,49.0,-403.0,147.0,165.0,-350.0,128.0
2006-07-06,5067,138.0,-177.0,-32.0,-1399.0,341.0,-254.0,-46.0,310.0,49.0,-403.0,147.0,165.0,-350.0
2006-07-07,4979,-88.0,138.0,-177.0,-32.0,-1399.0,341.0,-254.0,-46.0,310.0,49.0,-403.0,147.0,165.0
2006-07-08,5036,57.0,-88.0,138.0,-177.0,-32.0,-1399.0,341.0,-254.0,-46.0,310.0,49.0,-403.0,147.0
2006-07-09,5127,91.0,57.0,-88.0,138.0,-177.0,-32.0,-1399.0,341.0,-254.0,-46.0,310.0,49.0,-403.0
